city_id,city,Cloudiness,Humidity,Latitude,Max Temp,Wind Speed
0,nassau,0,62,51.17,57.0,4.7
1,tasiilaq,75,91,65.61,32.0,28.86
2,mataura,0,73,-46.19,24.17,2.93
3,bethel,40,73,60.79,26.6,12.75
4,sur,8,82,22.57,80.6,1.48
5,mount gambier,75,93,-37.83,46.4,10.29
6,nha trang,20,83,12.24,78.8,3.36
7,ushuaia,90,65,-54.81,41.0,24.16
8,hit,92,62,33.64,63.05,5.95
9,punta arenas,40,61,-53.16,48.2,48.32
10,ngunguru,24,95,-35.62,51.01,8.63
11,bellevue,1,71,47.61,53.01,14.99
12,vao,0,67,59.1,40.28,4.72
13,saldanha,92,75,41.42,44.42,11.21
14,busselton,76,55,-33.64,51.01,10.42
15,mahibadhoo,64,100,3.78,83.03,0.58
16,rikitea,76,100,-23.12,77.27,14.67
17,buala,0,95,-8.15,80.87,3.83
18,mollendo,0,66,-17.03,74.12,3.6
19,innisfail,75,75,52.02,52.0,8.05
20,khorixas,0,52,-20.37,72.32,6.85
21,hasaki,20,81,35.73,52.0,11.41
22,sao filipe,0,92,14.9,72.14,19.6
23,labuhan,88,97,-2.54,71.87,1.36
24,victoria,75,83,5.28,84.0,1.12
25,san luis,0,25,-33.3,82.49,8.63
26,cabo san lucas,5,57,22.89,82.0,2.24
27,bluff,0,86,-23.58,65.3,6.62
28,ambon,90,100,47.55,48.0,10.29
29,geraldton,75,59,49.72,33.8,5.82
30,vaini,0,76,15.34,71.24,2.71
31,high level,90,63,58.52,30.2,9.17
32,bow island,20,28,49.87,60.01,24.16
33,puerto ayora,20,66,-0.74,86.0,11.41
34,hilo,75,56,19.71,73.4,3.36
35,mayumba,76,93,-3.44,81.68,10.65
36,houma,44,50,35.63,50.0,2.71
37,souillac,90,87,45.6,46.4,11.41
38,kimbe,88,100,-5.56,77.0,3.6
39,pierre,20,82,44.37,64.99,4.7
40,klaksvik,76,98,62.23,41.0,11.41
41,albany,40,54,42.65,57.99,6.93
42,hay river,75,46,60.82,28.4,14.99
43,kualakapuas,48,94,-3.01,78.8,2.24
44,sorland,44,97,67.67,40.37,12.55
45,new norfolk,0,66,-42.78,51.8,10.29
46,atuona,32,98,-9.8,82.76,17.25
47,castro,75,87,-42.48,57.2,18.34
48,tiksi,24,80,71.64,11.93,2.93
49,port elizabeth,1,52,39.31,71.01,8.05
50,mount isa,0,50,-20.73,75.2,8.05
51,makakilo city,1,69,21.35,77.0,4.61
52,dicabisagan,12,100,17.08,71.33,4.38
53,kapaa,1,73,22.08,75.2,4.7
54,leningradskiy,56,85,69.38,5.0,15.01
55,cidreira,92,90,-30.17,71.69,7.85
56,hermanus,0,80,-34.42,64.0,1.01
57,barrow,0,41,-38.31,75.74,15.79
58,doha,0,42,25.29,82.4,11.41
59,ponta do sol,64,90,-20.63,74.57,7.18
60,kaitangata,0,75,-46.28,39.0,4.0
61,laguna,5,33,27.52,77.0,5.82
62,cape town,0,82,-33.93,66.0,10.29
63,mugur-aksy,88,90,50.38,23.63,2.15
64,haines junction,32,83,60.75,20.93,2.37
65,port alfred,8,87,-33.59,64.0,17.58
66,kirakira,92,99,-10.46,84.65,4.83
67,mogadishu,0,100,2.04,83.3,13.44
68,hobart,0,66,-42.88,51.8,10.29
69,ghindaresti,0,93,44.65,42.8,10.29
70,robertsport,64,95,6.75,83.66,9.31
71,royan,90,87,45.62,48.2,11.41
72,bud,40,94,62.91,42.8,11.41
73,jamestown,0,82,-33.21,43.7,2.15
74,kodiak,1,84,39.95,73.99,18.34
75,svetlaya,8,91,46.54,31.19,8.97
76,thompson,20,32,55.74,26.6,5.82
77,shumyachi,0,62,53.86,38.57,7.07
78,qaanaaq,68,84,77.48,10.49,11.43
79,ustrzyki dolne,92,71,49.43,50.0,2.48
80,tumpat,75,78,6.2,82.4,1.12
81,torbay,90,35,47.66,39.99,19.46
82,bambous virieux,75,74,-20.34,80.6,11.41
83,monywa,12,68,22.12,74.66,7.29
84,touros,92,100,-5.2,79.52,10.65
85,dikson,64,93,73.51,15.89,7.96
